Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Clase Real,Clase Predecida,Resultado Inferencia
-1.1791,0.0096,8.934,-0.0043,0.0155,0.0354,28.3565,Mov00,Mov00,0.996094
-1.1516,0.018,8.9076,-0.0048,-0.0272,0.0357,28.3535,Mov00,Mov00,0.996094
-1.081,0.0168,8.8466,-0.0045,-0.0253,0.0354,28.3506,Mov00,Mov00,0.996094
-1.0786,0.0084,8.8573,-0.0037,0.0067,0.0354,28.3506,Mov00,Mov00,0.996094
-1.1205,0.0168,8.8897,-0.0037,0.0168,0.0354,28.3476,Mov00,Mov00,0.996094
-1.1456,0.0168,8.9208,-0.0043,-0.0013,0.0354,28.3476,Mov00,Mov00,0.996094
-1.1217,0.0168,8.9136,-0.0051,-0.0248,0.0357,28.3476,Mov00,Mov00,0.996094
-1.0882,0.018,8.8849,-0.0053,-0.029,0.0357,28.3506,Mov00,Mov00,0.996094
-1.0786,0.0156,8.8633,-0.0053,-0.0181,0.036,28.3535,Mov00,Mov00,0.996094
-1.087,0.0132,8.8729,-0.0048,-0.0059,0.0365,28.3447,Mov00,Mov00,0.996094
-1.1037,0.0108,8.8921,-0.0051,-0.0032,0.0362,28.3447,Mov00,Mov00,0.996094
-1.0989,0.0084,8.8861,-0.0051,-0.0035,0.036,28.3476,Mov00,Mov00,0.996094
-1.0822,0.0096,8.8693,-0.0053,0.0013,0.036,28.3594,Mov00,Mov00,0.996094
-1.0918,0.0084,8.8741,-0.0051,0.0091,0.036,28.3565,Mov00,Mov00,0.996094
-1.1109,0.0132,8.8885,-0.0051,0.0083,0.036,28.3565,Mov00,Mov00,0.996094
-1.087,0.0204,8.8645,-0.0053,0.0048,0.036,28.3565,Mov00,Mov00,0.996094
-1.0834,0.0239,8.8657,-0.0053,0.0144,0.0357,28.3594,Mov00,Mov00,0.996094
-1.0846,0.0215,8.8645,-0.0048,0.0258,0.0357,28.3594,Mov00,Mov00,0.996094
-1.1073,0.0192,8.8825,-0.0043,0.0288,0.0357,28.3594,Mov00,Mov00,0.996094
-1.1097,0.0215,8.8873,-0.0043,0.0258,0.0357,28.3624,Mov00,Mov00,0.996094
-1.1588,0.0192,8.9148,-0.0043,0.0133,0.0357,28.3653,Mov00,Mov00,0.996094
-1.1708,0.0204,8.9507,-0.0051,-0.033,0.0357,28.3624,Mov00,Mov00,0.996094
-1.1121,0.0204,8.8945,-0.0059,-0.0677,0.0357,28.3535,Mov00,Mov00,0.996094
-1.0678,0.0192,8.8454,-0.0056,-0.061,0.036,28.3506,Mov00,Mov00,0.996094
-1.057,0.0168,8.8514,-0.0051,-0.0357,0.036,28.3447,Mov00,Mov00,0.996094
-1.0858,0.0156,8.8921,-0.0045,-0.0248,0.036,28.3476,Mov00,Mov00,0.996094
-1.0906,0.018,8.9028,-0.0048,-0.0336,0.0357,28.3506,Mov00,Mov00,0.996094
-1.0834,0.0215,8.9004,-0.0053,-0.044,0.036,28.3565,Mov00,Mov00,0.996094
-1.0678,0.0132,8.8945,-0.0059,-0.0453,0.0357,28.3594,Mov00,Mov00,0.996094
-1.0618,0.006,8.8909,-0.0056,-0.0413,0.0362,28.3565,Mov00,Mov00,0.996094
-1.0642,0.006,8.8765,-0.0053,-0.033,0.0362,28.3565,Mov00,Mov00,0.996094
-1.0618,0.0096,8.8681,-0.0048,-0.0282,0.0362,28.3565,Mov00,Mov00,0.996094
-1.0511,0.0096,8.8873,-0.0048,-0.0213,0.0357,28.3506,Mov00,Mov00,0.996094
-1.0511,0.0108,8.8861,-0.0045,-0.0152,0.0357,28.3506,Mov00,Mov00,0.996094
-1.0427,0.0192,8.8945,-0.0045,-0.0131,0.0357,28.3535,Mov00,Mov00,0.996094
-1.0475,0.018,8.8945,-0.0048,-0.0123,0.0357,28.3535,Mov00,Mov00,0.996094
-1.0499,0.0215,8.8945,-0.0051,-0.0139,0.036,28.3565,Mov00,Mov00,0.996094
-1.0427,0.0227,8.8933,-0.0053,-0.0152,0.0357,28.3565,Mov00,Mov00,0.996094
-1.0415,0.0227,8.9088,-0.0053,-0.0155,0.036,28.3594,Mov00,Mov00,0.996094
-1.0403,0.0204,8.8933,-0.0051,-0.0155,0.0357,28.3565,Mov00,Mov00,0.996094
-1.0367,0.0204,8.8897,-0.0051,-0.0168,0.0357,28.3624,Mov00,Mov00,0.996094
-1.0343,0.0132,8.8789,-0.0051,-0.016,0.0357,28.3535,Mov00,Mov00,0.996094
-1.0295,0.012,8.8849,-0.0045,-0.0125,0.0357,28.3506,Mov00,Mov00,0.996094
-1.0307,0.0084,8.8753,-0.0048,-0.008,0.0357,28.3476,Mov00,Mov00,0.996094
-1.0283,0.0156,8.8789,-0.0043,-0.0032,0.036,28.3535,Mov00,Mov00,0.996094
-1.0331,0.0204,8.8801,-0.0043,0.0008,0.0357,28.3565,Mov00,Mov00,0.996094
-1.0331,0.0263,8.8825,-0.0043,0.0035,0.0354,28.3535,Mov00,Mov00,0.996094
-1.0319,0.018,8.8837,-0.0043,0.0029,0.0354,28.3624,Mov00,Mov00,0.996094
-1.0343,0.0192,8.8933,-0.0043,0.0029,0.0357,28.3565,Mov00,Mov00,0.996094
-1.0307,0.0168,8.8969,-0.0045,0.0032,0.0357,28.3535,Mov00,Mov00,0.996094
-1.0319,0.0239,8.9028,-0.0051,0.0035,0.0354,28.3535,Mov00,Mov00,0.996094
-1.0415,0.0156,8.9112,-0.0051,0.0021,0.0357,28.3506,Mov00,Mov00,0.996094
-1.0379,0.0192,8.916,-0.0051,0.0011,0.036,28.3476,Mov00,Mov00,0.996094
-0.9924,0.0192,8.8681,-0.0045,0.0157,0.036,28.3476,Mov00,Mov00,0.996094
-0.9349,0.0527,8.8597,-0.0043,0.057,0.0432,28.3476,Mov00,Mov00,0.996094
-0.9852,0.018,8.8286,-0.0051,0.1124,0.0578,28.3535,Mov00,Mov00,0.996094
-1.0223,0.0311,8.8945,-0.0056,0.1468,0.0653,28.3565,Mov00,Mov00,0.996094
-1.0558,0.0204,8.9088,-0.0064,0.154,0.0698,28.3506,Mov00,Mov00,0.996094
-0.9792,0.0419,8.9076,-0.0093,0.1545,0.0879,28.3506,Mov00,Mov00,0.996094
-1.1049,0.0168,8.8789,-0.0117,0.1727,0.1074,28.3476,Mov00,Mov00,0.996094
